City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,bambous virieux,-20.3428,57.7575,80.85,78,40,4.61,MU,04/03/2023
161,nangong,37.3581,115.3744,50.13,71,100,17.2,CN,04/03/2023
162,lavrentiya,65.5833,-171.0,3.0,97,100,5.77,RU,04/03/2023
163,punta arenas,-53.15,-70.9167,57.31,51,0,18.41,CL,04/03/2023
164,mushie,-3.0167,16.9,88.52,57,68,3.27,CD,04/03/2023
165,wahiawa,21.5028,-158.0236,67.87,90,96,4.72,US,04/03/2023
166,vila velha,-20.3297,-40.2925,82.35,67,20,12.66,BR,04/03/2023
167,guapore,-28.8456,-51.8903,77.7,32,9,4.88,BR,04/03/2023
168,sao joao da barra,-21.6403,-41.0511,82.49,57,100,10.13,BR,04/03/2023
169,alofi,-19.0595,-169.9187,76.89,88,75,10.36,NU,04/03/2023
170,hamilton,39.1834,-84.5333,56.89,78,75,4.61,US,04/03/2023
171,wadowice,49.8834,19.4929,41.36,65,96,10.4,PL,04/03/2023
172,broceni,56.7,22.5333,33.03,52,10,11.14,LV,04/03/2023
173,nelson bay,-32.7167,152.15,66.0,94,85,10.58,AU,04/03/2023
174,burnie,-41.0667,145.9167,49.95,97,92,3.58,AU,04/03/2023
175,codrington,-38.2667,141.9667,52.43,92,43,4.5,AU,04/03/2023
176,namatanai,-3.6667,152.4333,79.77,82,90,6.29,PG,04/03/2023
177,kondinskoye,59.6481,67.41,35.4,98,100,6.15,RU,04/03/2023
178,williams lake,52.1415,-122.1445,27.97,96,75,3.44,CA,04/03/2023
179,mount gambier,-37.8333,140.7667,50.63,95,43,4.63,AU,04/03/2023
180,saldanha,-33.0117,17.9442,63.61,82,62,9.78,ZA,04/03/2023
181,marsa matruh,31.3525,27.2453,88.0,10,0,20.71,EG,04/03/2023
182,xinzhi,36.4989,111.7047,49.17,84,100,5.35,CN,04/03/2023
183,rio grande,-32.035,-52.0986,80.71,59,71,10.56,BR,04/03/2023
184,palana,59.1167,159.9667,12.09,96,100,5.08,RU,04/03/2023
185,isangel,-19.55,169.2667,79.05,86,32,6.2,VU,04/03/2023
186,cockburn town,21.4612,-71.1419,77.81,75,25,13.31,TC,04/03/2023
187,clyde river,70.4692,-68.5914,-12.77,84,0,8.05,CA,04/03/2023
188,avera,33.194,-82.5271,57.54,69,100,1.86,US,04/03/2023
189,guiratinga,-16.3494,-53.7583,83.35,59,1,6.58,BR,04/03/2023
190,camana,-16.6228,-72.7111,78.31,76,90,7.0,PE,04/03/2023
191,dakar,14.6937,-17.4441,85.08,74,40,9.22,SN,04/03/2023
192,oyama,36.3,139.8,56.59,50,18,1.43,JP,04/03/2023
193,havoysund,70.9963,24.6622,30.43,70,99,16.17,NO,04/03/2023
194,faanui,-16.4833,-151.75,81.54,71,59,3.44,PF,04/03/2023
195,hereford,52.0568,-2.7148,56.53,63,8,1.01,GB,04/03/2023
196,alghero,40.5589,8.3181,60.89,77,20,6.91,IT,04/03/2023
197,vardo,70.3705,31.1107,28.38,80,75,31.07,NO,04/03/2023
198,opuwo,-18.0607,13.84,79.61,41,82,7.45,NA,04/03/2023
199,sao felix do xingu,-6.6447,-51.995,76.59,83,100,1.03,BR,04/03/2023
200,sakakah,29.9697,40.2064,81.97,14,0,6.82,SA,04/03/2023
201,bucerias,20.75,-105.3333,82.51,37,100,3.69,MX,04/03/2023
202,xinzhou,38.4092,112.7333,44.85,83,100,5.37,CN,04/03/2023
203,jega,12.2175,4.3792,103.28,5,39,6.64,NG,04/03/2023
204,mar del plata,-38.0023,-57.5575,72.95,65,0,6.91,AR,04/03/2023
205,ekhabi,53.5102,142.9671,29.37,91,100,17.16,RU,04/03/2023
206,tuktoyaktuk,69.4541,-133.0374,-13.0,77,20,3.44,CA,04/03/2023
207,jishou,28.3167,109.7167,70.27,95,100,2.24,CN,04/03/2023
208,esperance,-33.8667,121.9,67.01,81,97,6.06,AU,04/03/2023
209,jijiga,9.35,42.8,67.19,74,97,0.81,ET,04/03/2023
